movie_id,title,genres,release_year,rating,popularity
1087822,Hellboy: The Crooked Man,"[14, 27, 28]",2024,5.3,175.968
10191,How to Train Your Dragon,"[14, 12, 16, 10751]",2010,7.8,147.251
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",2001,8.416,180.978
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[12, 10751, 14]",2005,7.1,162.17
447277,The Little Mermaid,"[12, 10751, 14, 10749]",2023,6.345,110.603
502356,The Super Mario Bros. Movie,"[16, 10751, 12, 14, 35]",2023,7.642,164.717
1029281,Strange Darling,"[80, 27, 53]",2024,7.0,163.114
238,The Godfather,"[18, 80]",1972,8.689,184.558
527435,The Christmas Chronicles,"[35, 12, 10751, 14]",2018,7.145,139.1
5492,Gunner,"[28, 53, 80]",2024,5.3,189.226
1337309,Bangkok Breaking: Heaven and Hell,"[28, 80, 18, 53]",2024,6.6,155.405
824003,Diabolik - Who Are You?,"[80, 28]",2023,6.4,168.197
453395,Doctor Strange in the Multiverse of Madness,"[14, 28, 12]",2022,7.3,107.059
1140648,Double Blind,"[878, 27, 53]",2024,5.853,136.841
46195,Rio,"[16, 12, 35, 10751]",2011,6.7,172.696
947891,My Old Ass,"[35, 18]",2024,6.7,172.344
588648,Dragonkeeper,"[28, 12, 16, 10751, 14]",2024,7.6,171.865
562,Die Hard,"[28, 53]",1988,7.794,171.347
438631,Dune,"[878, 12]",2021,7.782,170.289
190859,American Sniper,"[10752, 28]",2014,7.426,168.805
5255,The Polar Express,"[16, 12, 10751, 14]",2004,6.7,168.683
228150,Fury,"[10752, 18, 28]",2014,7.539,168.499
824003,Diabolik - Who Are You?,"[80, 28]",2023,6.4,168.197
783110,Smugglers,"[80, 28]",2023,6.6,167.127
809,Shrek 2,"[16, 10751, 35, 14, 12, 10749]",2004,7.282,166.867
827931,Time Cut,"[27, 878, 53]",2024,5.675,166.645
1147400,"Miraculous World: Paris, Tales of Shadybug and Claw Noir","[16, 12, 28, 14, 10751]",2023,7.213,166.624
315162,Puss in Boots: The Last Wish,"[16, 12, 14, 35, 10751]",2022,8.221,166.342
1154215,Elyas,"[28, 53]",2024,6.2,166.158
592831,Megalopolis,"[878, 18]",2024,5.5,164.917
502356,The Super Mario Bros. Movie,"[16, 10751, 12, 14, 35]",2023,7.642,164.717
672,Harry Potter and the Chamber of Secrets,"[12, 14]",2002,7.7,164.466
1029281,Strange Darling,"[80, 27, 53]",2024,7.0,163.114
277834,Moana,"[12, 35, 10751, 16]",2016,7.6,162.582
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[12, 10751, 14]",2005,7.135,162.17
1210794,Trouble,"[28, 35, 80]",2024,6.793,161.907
1059264,The Inseparables,"[16, 12, 35, 10751]",2023,6.5,160.635
